#
1טער קאפיטעל	CHAPTER I .
דאס איז געווען אין א סעפטעמבער טאג , ארום פיער אזיינער נאכמיטאג .	It was near four o'clock on a September day , so that the atmosphere was well-brewed to a visible haze .
דער גרויסער שפיעל זאל אין ליבראן איז געווען אנגעפאקט מיט מענשעןאז מען האט קוים געקענט דעם אטעם כאפען . די פערזאמעלטע זיינען דאאהער געקומען פון פערשידענע געגענדען און לענדער .	There was deep stillness , broken only by a light rattle , a light chink , a small sweeping sound , and an occasional monotone in French , such as might be expected to issue from an ingeniously constructed automaton .
זייט ביי זייט האבעןזיך דא געפונען ענגלענדער , דייטשען , שפאניער , איטאליענער אוןפראנצויזען .	Round two long tables were gathered two serried crowds of human beings , all save one having their faces and attention bent on the tables .
איהר האט דא געפונען רייכע , גבירים , ארימע , גראפען אוןבאראנען , גרויסע סוחרים און קליין הענדלער . פערשידענע מינים מענשען פוןפערשידענע פעלקער זיינען זיך דא צונויפגעפאהרען אין דעם שפיעל הויז .	The one exception was a melancholy little boy , with his knees and calves simply in their natural clothing of epidermis , but for the rest of his person in a fancy dress .
יעדער וויל אויספרואווען זיין מזל , אלע גלוסטען רייך ווערען , רייכער אוןרייכער , שטעלען זיי זייער גאנץ פערמעגען אי ) קאן און דער וועמען דאסגליקט אב ווערט טאקי שטיין רייך ; אנדערע ווידער פערלירען זייער לעצטגעלד און עס בלייבט זיי נאר צו געהן איבער די הייזער .	He alone had his face turned toward the doorway , and fixing on it the blank gaze of a bedizened child stationed as a masquerading advertisement on the platform of an itinerant show , stood close behind a lady deeply engaged at the roulette-table .
#
שטיל איז געווען אין דעם גרויסען פולען זאל .	About this table fifty or sixty persons were assembled , many in the outer rows , where there was occasionally a deposit of new-comers , being mere spectators , only that one of them , usually a woman , might now and then be observed putting down a five-franc with a simpering air , just to see what the passion of gambling really was .
קיין  .	Those who were taking their pleasure at a higher strength , and were absorbed in play , showed very distant varieties of European type : Livonian and Spanish , Graeco-Italian and miscellaneous German , English aristocratic and English plebeian .
	Here certainly was a striking admission of human equality .
ווארט האט מען ניטגעהערט .	The white bejewelled fingers of an English countess were very near touching a bony , yellow , crab-like hand stretching a bared wrist to clutch a heap of coin -- a hand easy to sort with the square , gaunt face , deep-set eyes , grizzled eyebrows , and ill-combed scanty hair which seemed a slight metamorphosis of the vulture .
נאר דאס דרעהען זיך פון די קיילעכלעך אויפ'ן שפיעל טיש ארוםדעם ראר .	And where else would her ladyship have graciously consented to sit by that dry-lipped feminine figure prematurely old , withered after short bloom like her artificial flowers , holding a shabby velvet reticule before her , and occasionally putting in her mouth the point with which she pricked her card ?
